representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
6.0,0.0,750.0,1.0,25.0,1280.0,720.0,68.0,39.362,0.9913199999999999,89.48979839999998
6.0,0.0,1850.0,1.0,25.0,1280.0,720.0,80.0,38.14079999999999,0.9887999999999999,89.00913408000001
6.0,0.0,2850.0,1.0,25.0,1280.0,720.0,100.0,43.82200000000001,0.99552,95.0157336
6.0,2.0,2850.0,1.0,25.0,1280.0,720.0,76.0,44.2132,0.9956000000000005,95.15096216
6.0,0.0,2600.0,4.0,25.0,1280.0,720.0,68.57142858,40.241099999999996,0.9894000000000002,92.19747997000002
6.0,1.0,2600.0,4.0,25.0,1280.0,720.0,61.81818182,37.4585,0.98628,90.45776543
6.0,0.0,2850.0,4.0,25.0,1280.0,720.0,64.0,37.0629,0.9859099999999998,90.48111621000001
6.0,0.0,2850.0,4.0,25.0,1280.0,720.0,68.57142858,38.1197,0.9889000000000001,92.19901046
