representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
6.0,0.0,750.0,1.0,25.0,1280.0,720.0,68.0,39.3524,0.9913199999999999,89.5536368
6.0,0.0,2850.0,1.0,25.0,1280.0,720.0,80.0,32.619600000000005,0.9733600000000002,74.44231092000001
6.0,0.0,2850.0,1.0,25.0,1280.0,720.0,100.0,43.84960000000001,0.9953199999999999,94.91368
6.0,0.0,1850.0,1.0,25.0,1280.0,720.0,76.0,44.2132,0.9956000000000005,95.15096216
6.0,2.0,2600.0,4.0,25.0,1280.0,720.0,68.57142858,40.241099999999996,0.9894000000000002,92.19747997000002
6.0,1.0,2850.0,4.0,25.0,1280.0,720.0,61.81818182,37.82379999999999,0.98709,91.07490608
6.0,0.0,2850.0,4.0,25.0,1280.0,720.0,64.0,37.0682,0.98593,90.45845727000001
6.0,0.0,2850.0,4.0,25.0,1280.0,720.0,68.57142858,37.0331,0.9863899999999999,90.47327961
