representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
1.0,1.4608965419160118,637.5,4.0,30.0,1280.0,720.0,60.0,32.16608333333333,0.96695,91.74185422499997
1.0,0.0,412.5,4.0,30.0,1280.0,720.0,62.5,31.51791666666667,0.9649833333333332,87.70306962500001
1.0,0.0,637.5,4.0,30.0,1280.0,720.0,68.88888888,31.13133333333333,0.9679416666666665,88.01935944166667
1.0,0.0,750.0,1.0,30.0,1280.0,720.0,80.0,30.688333333333333,0.9661333333333334,85.63827866666665
1.0,0.0,750.0,1.0,10.0,1280.0,720.0,80.0,24.97733333333333,0.7932666666666666,50.02702329999999
1.0,0.0,750.0,1.0,30.0,1280.0,720.0,74.28571428,30.499666666666666,0.9635666666666666,85.88666513333334
1.0,0.0,1200.0,1.0,30.0,1280.0,720.0,93.33333334000001,30.634000000000004,0.9649999999999999,85.52602210000002
1.0,0.0,862.5,4.0,30.0,1280.0,720.0,65.71428572,31.2205,0.9657749999999998,86.41367123333333
