representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
3.0,1.0,2325.0,4.0,30.0,1280.0,720.0,66.66666666,40.97658333333334,0.9789083333333335,93.10765290833334
3.0,0.0,2850.0,1.0,30.0,1280.0,720.0,62.85714286,41.189666666666675,0.9793000000000001,91.77567166666668
3.0,1.0,2850.0,1.0,30.0,1280.0,720.0,60.0,19.14533333333333,0.6500666666666665,13.108251266666665
3.0,0.0,2850.0,1.0,30.0,1280.0,720.0,68.0,17.16,0.5649,21.648788566666667
3.0,0.0,2850.0,1.0,30.0,1280.0,720.0,100.0,14.111000000000002,0.3688666666666668,4.350155866666667
3.0,1.0,2437.5,4.0,30.0,1280.0,720.0,63.636363640000006,19.27916666666667,0.6355749999999999,38.84584690833333
3.0,0.0,1087.5,4.0,30.0,1280.0,720.0,60.0,16.022166666666667,0.5073333333333333,7.852612941666666
3.0,1.0,1325.0,4.0,30.0,1280.0,720.0,76.0,19.372666666666667,0.6541916666666666,15.324149391666667
