representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
4.0,0.0,2075.0,4.0,60.0,1280.0,720.0,66.66666666,30.74458333333333,0.8968500000000001,62.99972789166667
4.0,2.0,2600.0,4.0,60.0,1280.0,720.0,77.14285714,34.330375,0.9464083333333334,79.51635375000001
4.0,1.0,2850.0,4.0,60.0,1280.0,720.0,60.0,27.542166666666667,0.8213458333333333,48.13870029166668
4.0,0.0,2850.0,4.0,60.0,1280.0,720.0,57.14285714,28.18458333333333,0.8374166666666667,56.144515408333326
4.0,0.0,2850.0,1.0,60.0,1280.0,720.0,74.28571428,30.7475,0.8854000000000003,72.2363959
4.0,0.0,2850.0,1.0,60.0,1280.0,720.0,78.0,28.61316666666666,0.8603333333333335,60.78236248333332
4.0,0.0,2850.0,1.0,60.0,1280.0,720.0,66.66666666,31.84316666666666,0.9139,74.60618048333335
4.0,0.0,2850.0,1.0,60.0,1280.0,720.0,68.0,30.378500000000006,0.8911499999999999,69.75090381666664
