representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
0.0,0.0,2075.0,4.0,25.0,1920.0,1080.0,71.42857142,33.251,0.9872599999999998,73.20252324
0.0,2.0,2600.0,4.0,25.0,1920.0,1080.0,62.85714286,32.3279,0.9636600000000001,86.09325592999998
0.0,1.0,2850.0,4.0,25.0,1920.0,1080.0,68.0,29.1789,0.93761,75.25895783
0.0,0.0,2850.0,4.0,25.0,1920.0,1080.0,60.0,29.110999999999997,0.94415,74.54224888
0.0,0.0,2850.0,1.0,25.0,1920.0,1080.0,68.0,29.283599999999993,0.9396000000000001,79.80158327999999
0.0,0.0,2850.0,1.0,25.0,1920.0,1080.0,64.0,29.2648,0.9410000000000003,72.94592764
0.0,0.0,2850.0,1.0,25.0,1920.0,1080.0,72.0,29.3452,0.93904,78.26591952
0.0,0.0,2850.0,1.0,25.0,1920.0,1080.0,71.42857142,27.2952,0.88948,60.73701575999999
