representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
0.0,0.0,2075.0,4.0,25.0,1920.0,1080.0,71.42857142,33.251,0.9872599999999998,73.20252324
0.0,2.0,2600.0,4.0,25.0,1920.0,1080.0,62.85714286,32.3263,0.9636300000000001,86.08015415
0.0,1.0,2850.0,4.0,25.0,1920.0,1080.0,68.0,26.0411,0.81907,52.03893722
0.0,0.0,2850.0,4.0,25.0,1920.0,1080.0,60.0,29.1201,0.9443200000000002,74.58551969000001
0.0,0.0,2850.0,1.0,25.0,1920.0,1080.0,68.0,29.283599999999993,0.9396000000000001,79.80158327999999
0.0,0.0,2850.0,1.0,25.0,1920.0,1080.0,64.0,29.2656,0.9410000000000003,72.94589151999999
0.0,0.0,2850.0,1.0,25.0,1920.0,1080.0,72.0,29.343599999999995,0.9390799999999999,78.25910044
0.0,0.0,2850.0,1.0,25.0,1920.0,1080.0,71.42857142,29.385199999999994,0.93684,78.57906544000001
