representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
7.0,0.0,750.0,1.0,25.0,1280.0,720.0,85.71428572,36.4248,0.92824,82.84324016
7.0,0.0,2850.0,1.0,25.0,1280.0,720.0,84.0,41.093599999999995,0.9773600000000002,93.69126176000002
7.0,0.0,2850.0,1.0,25.0,1280.0,720.0,76.0,41.170399999999994,0.97708,89.78861812000001
7.0,0.0,1850.0,1.0,25.0,1280.0,720.0,92.0,42.46799999999999,0.9830800000000001,90.81916783999999
7.0,2.0,2600.0,4.0,25.0,1280.0,720.0,85.71428572,40.6458,0.9749400000000001,88.42896492
7.0,1.0,2850.0,4.0,25.0,1280.0,720.0,80.0,38.5608,0.9153199999999999,79.39052240000001
7.0,0.0,2850.0,4.0,25.0,1280.0,720.0,74.54545454,41.6483,0.98216,90.96939554
7.0,0.0,2850.0,4.0,25.0,1280.0,720.0,72.0,39.890600000000006,0.9785500000000001,90.74753922000002
