representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
3.0,0.0,2075.0,4.0,30.0,1280.0,720.0,66.66666666,37.857833333333325,0.9672499999999999,85.00179948333333
3.0,0.0,1850.0,1.0,30.0,1280.0,720.0,62.85714286,39.59199999999999,0.9800000000000003,90.70886193333334
3.0,0.0,2850.0,1.0,30.0,1280.0,720.0,60.0,39.59133333333333,0.9807333333333336,90.64003583333331
3.0,0.0,2850.0,1.0,30.0,1280.0,720.0,68.0,38.79833333333333,0.9733666666666667,91.42299983333332
3.0,2.0,2850.0,1.0,30.0,1280.0,720.0,100.0,inf,0.9751333333333333,87.88625096666665
3.0,1.0,2850.0,4.0,30.0,1280.0,720.0,63.636363640000006,39.06333333333333,0.9748000000000001,90.23318411666668
3.0,0.0,2850.0,4.0,30.0,1280.0,720.0,60.0,36.903666666666666,0.9603916666666664,93.75964445833336
3.0,0.0,2850.0,4.0,30.0,1280.0,720.0,76.0,38.643499999999996,0.9738416666666667,89.21554146666665
