representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
2.0,1.9421588963722143,750.0,1.0,25.0,1280.0,720.0,86.66666665999999,36.098800000000004,0.9804399999999999,96.73462047999999
2.0,1.0,300.0,1.0,25.0,1280.0,720.0,60.0,17.4396,0.32596,15.594183560000001
2.0,0.0,300.0,1.0,25.0,1280.0,720.0,72.0,17.694000000000003,0.33248000000000005,14.89690084
2.0,0.0,300.0,1.0,25.0,1280.0,720.0,68.0,17.8756,0.34743999999999997,11.86104024
2.0,0.0,300.0,4.0,25.0,1280.0,720.0,64.0,17.6085,0.34096999999999994,13.5766474
2.0,0.0,300.0,4.0,25.0,1280.0,720.0,65.71428572,12.099700000000002,0.60535,6.79083501
2.0,0.0,300.0,4.0,25.0,1280.0,720.0,71.42857142,19.443700000000003,0.5671999999999999,6.80395023
2.0,0.0,412.5,4.0,25.0,1280.0,720.0,80.0,33.55323750000001,0.75848,53.760532364166664
