representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
1.0,0.0,2075.0,4.0,30.0,1280.0,720.0,60.0,28.92866666666667,0.9132083333333334,73.64637060833334
1.0,2.0,2600.0,4.0,30.0,1280.0,720.0,62.5,29.56683333333333,0.937475,74.98131022500002
1.0,1.0,2850.0,4.0,30.0,1280.0,720.0,68.88888888,29.035083333333333,0.9347666666666666,75.14971325833334
1.0,0.0,2850.0,1.0,30.0,1280.0,720.0,80.0,29.518666666666668,0.9504333333333335,77.39877329999999
1.0,0.0,2850.0,1.0,30.0,1280.0,720.0,80.0,29.677000000000003,0.9509666666666667,76.49474396666665
1.0,0.0,2850.0,1.0,30.0,1280.0,720.0,74.28571428,29.625333333333334,0.951,78.4511709666667
1.0,0.0,2850.0,1.0,30.0,1280.0,720.0,93.33333334000001,29.603,0.9501666666666667,77.79321806666668
1.0,0.0,2850.0,4.0,30.0,1280.0,720.0,65.71428572,29.029916666666665,0.9288916666666666,72.68491323333333
