representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
1.0,0.0,2075.0,4.0,30.0,1280.0,720.0,60.0,29.134833333333333,0.9175083333333335,74.72938645833335
1.0,2.0,2600.0,4.0,30.0,1280.0,720.0,62.5,29.96858333333333,0.9456916666666667,77.524378375
1.0,1.0,2850.0,4.0,30.0,1280.0,720.0,68.88888888,29.40775,0.9411666666666666,76.77009703333334
1.0,0.0,2850.0,1.0,30.0,1280.0,720.0,80.0,27.99466666666666,0.9163666666666668,67.09231989999999
1.0,0.0,2850.0,1.0,30.0,1280.0,720.0,80.0,28.099000000000004,0.9122666666666668,66.53908240000001
1.0,0.0,2850.0,1.0,30.0,1280.0,720.0,74.28571428,28.148666666666667,0.9156333333333334,67.80725716666667
1.0,0.0,2850.0,1.0,30.0,1280.0,720.0,93.33333334000001,27.132333333333328,0.8817333333333334,58.635591999999995
1.0,0.0,2850.0,4.0,30.0,1280.0,720.0,65.71428572,26.97275,0.8440916666666667,55.154575316666666
