streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace1-2c06_5.csv,75.622,0.0,0.626,63.552
trace1-2c06_phase_2_1.csv,12.137,4.612,0.55,-14.337
trace1-2c06_phase_2_2.csv,13.071,1.279,0.642,-7.655
trace1-2c06_phase_2_3.csv,23.51,2.779,0.644,2.722
trace1-2c06_phase_2_4.csv,34.144,2.279,0.647,13.358
trace1-4b69_1.csv,8.991,7.5,-0.205,-2.866
trace1-4b69_2.csv,10.563,7.813,-0.056,4.461
trace1-4b69_3.csv,20.858,8.611,-0.006,14.703
trace1-4b69_5.csv,70.808,8.214,0.111,64.737
trace1-4b69_phase_2_1.csv,80.938,10.0,-0.176,72.988
trace1-4b69_phase_2_2.csv,81.993,10.0,-0.176,74.136
trace1-4b69_phase_2_3.csv,81.053,9.286,-0.176,73.033
trace1-4b69_phase_2_4.csv,81.472,11.667,-0.194,73.479
trace1-6403_1.csv,6.528,12.763,0.472,-12.815
trace1-6403_2.csv,6.611,10.609,0.359,-6.079
trace1-6403_3.csv,12.164,5.58,0.373,3.482
trace1-6403_4.csv,15.09,1.048,0.505,13.538
trace1-6403_phase_2_1.csv,60.339,19.393,0.347,61.403
trace1-6403_phase_2_2.csv,59.57,19.858,0.347,60.583
trace1-6403_phase_2_3.csv,60.503,18.441,0.327,61.563
trace1-6403_phase_2_4.csv,60.094,18.608,0.324,61.765
trace1-6658_1.csv,14.158,0.0,0.523,-17.462
trace1-6658_3.csv,47.554,0.0,0.539,24.841
trace1-6658_4.csv,48.795,0.0,0.647,33.997
trace1-6658_5.csv,59.771,0.0,0.576,45.006
trace1-6658_phase_2_1.csv,11.443,0.0,0.615,-14.24
trace1-6658_phase_2_2.csv,19.477,0.0,0.617,-6.268
trace1-6658_phase_2_3.csv,29.195,0.0,0.619,3.653
trace1-6658_phase_2_4.csv,38.34,2.578,0.622,12.635
trace2-06a6_1.csv,7.818,5.384,0.127,-13.571
trace2-06a6_3.csv,52.114,3.972,0.157,38.922
trace2-06a6_4.csv,57.966,0.662,0.293,50.328
trace2-06a6_5.csv,69.289,0.0,0.331,61.587
trace2-06a6_phase_2_1.csv,6.961,4.702,0.236,-8.671
trace2-06a6_phase_2_2.csv,17.999,8.035,0.239,2.369
trace2-06a6_phase_2_3.csv,28.936,6.202,0.242,13.297
trace2-06a6_phase_2_4.csv,40.132,5.773,0.245,24.493
trace2-08e1_1.csv,9.705,27.249,0.271,-9.236
trace2-08e1_2.csv,10.906,27.025,0.282,-4.972
trace2-08e1_3.csv,13.485,25.245,0.416,3.435
trace2-08e1_4.csv,20.737,45.763,0.434,12.942
trace2-08e1_phase_2_1.csv,37.898,88.143,0.225,32.654
trace2-08e1_phase_2_2.csv,66.847,87.643,0.225,61.256
trace2-08e1_phase_2_3.csv,65.34,88.643,0.225,59.933
trace2-08e1_phase_2_4.csv,64.78,88.572,0.223,59.872
trace2-1a6d_2.csv,40.642,11.025,0.125,31.129
trace2-1a6d_3.csv,47.499,10.596,0.266,43.728
trace2-1a6d_4.csv,52.516,9.914,0.303,48.652
trace2-1a6d_5.csv,63.616,9.596,0.346,59.827
trace2-1a6d_phase_2_1.csv,74.508,11.311,0.164,68.432
trace2-1a6d_phase_2_2.csv,73.563,11.096,0.164,67.887
trace2-1a6d_phase_2_3.csv,73.208,10.096,0.132,67.499
trace2-1a6d_phase_2_4.csv,79.924,12.0,0.13,72.76
trace2-2abf_2.csv,43.567,7.376,0.016,39.119
trace2-2abf_3.csv,53.739,6.69,-0.148,48.457
trace2-2abf_4.csv,57.44,6.006,0.068,57.576
trace2-2abf_5.csv,66.919,6.578,0.132,67.105
trace2-2abf_phase_2_1.csv,35.422,7.454,0.105,24.116
trace2-2abf_phase_2_2.csv,28.861,8.954,0.034,23.058
trace2-2abf_phase_2_3.csv,38.562,11.454,0.03,33.493
trace2-2abf_phase_2_4.csv,42.614,8.454,0.027,37.408
